16777472	16778239	福建省	未知
16779264	16781311	广东省	未知
16785408	16793599	广东省	未知
16842752	16843007	福建省	未知
16843264	16844799	福建省	未知
16844800	16859135	广东省	未知
16908288	16908799	福建省	未知
16908800	16909055	北京市	北京市
16909312	16909567	北京市	北京市
16909568	16910335	福建省	未知
16910336	16941055	广东省	未知
16973824	17039359	广东省	未知
17039616	17040383	福建省	未知
17040384	17040639	北京市	北京市
17040640	17041407	福建省	未知
17041408	17072127	广东省	未知
17301504	17367039	北京市	北京市
17432576	17434623	广东省	未知
17434624	17435135	福建省	未知
17435392	17436671	福建省	未知
17436672	17465343	广东省	未知
17563648	17825791	北京市	北京市
18350080	18358271	内蒙古自治区	未知
18358272	18360319	内蒙古自治区	乌兰察布市
18360320	18366463	内蒙古自治区	锡林郭勒盟
18366464	18370559	内蒙古自治区	未知
18370560	18374655	内蒙古自治区	乌兰察布市
18374656	18382847	内蒙古自治区	巴彦淖尔市
18382848	18384895	内蒙古自治区	包头市
18384896	18387967	内蒙古自治区	鄂尔多斯市
18387968	18391039	内蒙古自治区	乌海市
18391040	18393087	内蒙古自治区	包头市
18393088	18395135	内蒙古自治区	锡林郭勒盟
18395136	18397183	内蒙古自治区	阿拉善盟
18397184	18398207	内蒙古自治区	乌海市
18398208	18399231	内蒙古自治区	包头市
18399232	18401279	内蒙古自治区	乌兰察布市
18401280	18405375	内蒙古自治区	呼和浩特市
18405376	18406399	内蒙古自治区	乌兰察布市
18406400	18410495	内蒙古自治区	包头市
18410496	18411519	内蒙古自治区	乌兰察布市
18411520	18412543	内蒙古自治区	呼和浩特市
18412544	18413567	内蒙古自治区	乌海市
18413568	18415615	内蒙古自治区	锡林郭勒盟
18415616	18417663	内蒙古自治区	乌兰察布市
18417664	18419711	内蒙古自治区	呼和浩特市
18419712	18421759	内蒙古自治区	乌海市
18421760	18427903	内蒙古自治区	乌兰察布市
18427904	18433023	内蒙古自治区	包头市
18433024	18434047	内蒙古自治区	未知
18434048	18439167	内蒙古自治区	锡林郭勒盟
18439168	18440191	内蒙古自治区	乌兰察布市
18440192	18441215	内蒙古自治区	巴彦淖尔市
18441216	18444287	内蒙古自治区	呼和浩特市
18444288	18446335	内蒙古自治区	锡林郭勒盟
18446336	18448383	内蒙古自治区	包头市
18448384	18450431	内蒙古自治区	乌兰察布市
18450432	18454527	内蒙古自治区	呼和浩特市
18454528	18466815	内蒙古自治区	锡林郭勒盟
18466816	18473983	内蒙古自治区	包头市
18473984	18481151	内蒙古自治区	巴彦淖尔市
18481152	18486271	内蒙古自治区	呼伦贝尔市
18486272	18486527	内蒙古自治区	赤峰市
